"Integral length scale","Temperature (K)","Pressure (Pa)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Turbulent Viscosity (Pa-s)","Turbulent Kinetic Energy (J/kg)","Turbulent Dissipation Rate (m^2/s^3)","X (m)","Y (m)","Z (m)"
0.003360138729983109,529.00508168861927,53497.308639984294,0.027672532114656003,-0.014475198144261892,0.016570240466943782,0.45643032059297495,0.00012986872360533336,3.829212734548733e-05,0.089999999999999997,0,0.14450000000000002
0.003493976345542887,528.94454942633706,53496.289753934216,0.028990901301151183,-0.013806279175280522,0.0059086514699688364,0.3469918426085758,0.00012182617410253863,3.8564727170186687e-05,0.10500000000000001,0,0.14450000000000002
0.005279266542272544,528.80223159842649,53497.442091516154,0.026036101303303982,-0.011505265240091158,-0.0066229135340853621,0.24944274116629728,0.00012974778017382541,6.0134479688033548e-05,0.12000000000000002,0,0.14450000000000002
0.014524073557974164,528.19125929480856,53501.763593568379,0.02177877086089439,-0.0072008873179825973,-0.024500814110339272,0.21803925299624541,0.00020231522767067878,0.00020658687480153804,0.13499999999999998,0,0.14450000000000002
0.013032698433602793,528.36734016993887,54241.802933106817,-0.014052520660501736,0.012270230833551474,-0.038205499638944894,0.14423698293625015,0.00016220101813125003,0.00016598205381081261,-0.13500000000000001,0,0.13600000000000001
0.002755978820783685,529.26191336152476,54236.734547593551,-0.025141889445553359,0.014598737536505462,-0.010494157664683397,0.2469684953712174,8.5114387272654482e-05,2.5425960285613361e-05,-0.12,0,0.13600000000000001
0.002649688346479019,529.27682813669935,54234.81582086769,-0.030729411110414693,0.015161494657080608,0.0072261504261461286,0.2363034546484675,7.6892956329337452e-05,2.3234753803304178e-05,-0.105,0,0.13600000000000001
0.0028647490190528728,529.297306719326,54235.773201243028,-0.029462452418030111,0.014839575763971543,0.021537526767089123,0.26660627380204321,7.8749740799794257e-05,2.5422083795286775e-05,-0.089999999999999997,0,0.13600000000000001
0.0031297826887071831,529.31507491042873,54238.345263067364,-0.023708602622996212,0.013837075784042818,0.030991270512238683,0.27002629610663659,8.5977749549213137e-05,2.9020655698659394e-05,-0.074999999999999997,0,0.13600000000000001
0.0033576231585796109,529.24354256756817,54241.540982228827,-0.013652945065396915,0.012366023906121416,0.036004595206369235,0.29582642875111975,0.00010131715122613755,3.379663307778222e-05,-0.059999999999999998,0,0.13600000000000001
